idAn,url,idUser,city,prenom
1332314,https://www.voscours.fr/prof-particulier-rennes/cours-mathematiques-par-etudiante-statistiques-1332314,1405397,Rennes,Enora
1334712,https://www.voscours.fr/prof-particulier-le-bugue/professeure-anglais-formatrice-anglais-tout-age-tout-niveaux-1334712,1408628,Campagne (Dordogne),Pauline
1206905,https://www.voscours.fr/cours-de-allemand-a-vaucluse/cours-allemand-tout-niveau-avignon-1206905,1197208,Avignon,Vanessa
1220512,https://www.voscours.fr/prof-particulier-dijon/cours-martogulier-maths-college-lycee-1220512,1220624,Saint-Apollinaire (Côte-d'Or),Marie
1884332,https://www.voscours.fr/prof-particulier-allonnes-sarthe/2eme-annee-licence-anglais-a-universite-souhaite-aider-eleves-leur-apprentissage-anglais-qui-peut-parfois-etre-difficile-1884332,2121258,Allonnes (Sarthe),Alizee
1723720,https://www.voscours.fr/prof-particulier-labenne/cours-particuliers-mathematiques-tout-niveau-1723720,1921656,Labenne,Ambre
1762501,https://www.voscours.fr/prof-particulier-la-garde-var/cours-a-domicile-remise-a-niveau-var-garde-1762501,1971307,La Garde (Var),Alexia
1834417,https://www.voscours.fr/prof-particulier-chatenay-malabry/cours-pianocomposition-adapte-a-vos-envies-1834417,2061585,Clichy,Thomas
3244233,https://www.voscours.fr/online/photographie/journaliste-reporter-photo-auteur-photographe-nombreuses-expositions-conference-universite-3244233,2190510,Évian-les-Bains,Jean Louis
3241196,https://www.voscours.fr/prof-particulier-amiens/anglais-maths-niveau-primaire-amiens-3241196,3804587,Amiens,Ambre
3209011,https://www.voscours.fr/prof-particulier-sanvignes-les-mines/anglais-jusqu-terminale-espagnol-jusqu-terminale-francais-jusqu-terminale-math-jusqu-3ieme-3209011,3771942,,Sylvie
3244308,https://www.voscours.fr/online/cycles-de-formation/dessin-ordinateur-en-ligne-3244308,3803730,,Pierre
3244344,https://www.voscours.fr/prof-particulier-bruz/cours-mathematiques-niveau-college-lycee-3244344,3807752,Bruz,Pascale
3244337,https://www.voscours.fr/prof-particulier-boulogne-sur-mer/etudiante-1er-annee-donne-cours-mathematique-3244337,3807741,Boulogne-sur-Mer,Twinity
3244374,https://www.voscours.fr/prof-particulier-colmar/professeur-peinture-dessin-colmar-colmar-3244374,3807785,,Badet
3244383,https://www.voscours.fr/prof-particulier-orsay/cours-chimie-biologie-college-orsay-3244383,3807793,Bures-sur-Yvette,Julien Poumarède
3244410,https://www.voscours.fr/prof-particulier-biarritz/cours-stage-photo-tous-niveaux-couleur-noir-blanc-paysage-street-photo-reportage-3244410,3303210,Bayonne,Serge
3244482,https://www.voscours.fr/prof-particulier-gauchy/etudiant-licence-langues-etrangeres-3244482,3807889,Gauchy,Charly
3244490,https://www.voscours.fr/prof-particulier-montreuil-seine-saint-denis/cours-anglais-tous-niveaux-amelioration-orale-ecrite-accent-americain-3244490,3807891,Bagnolet,Sylvie
3244535,https://www.voscours.fr/prof-particulier-dijon/etudiant-licence-espagnol-cours-espagnol-3244535,3194773,,Bouring
1944418,https://www.voscours.fr/prof-particulier-villeneuve-saint-georges/professeur-mathematiques-college-lycee-1944418,2200570,Ablon-sur-Seine,Francelot
1961798,https://www.voscours.fr/prof-particulier-saint-avold/cours-espagnol-soutien-scolaire-methodologie-approche-individualisee-avold-environs-1961798,2227068,Macheren,Mélissa
2016805,https://www.voscours.fr/prof-particulier-vendome/etudiante-comptabilite-gestion-vendome-2016805,2308892,Gouzon,Mailys
2055628,https://www.voscours.fr/prof-particulier-noisy-le-grand/cours-particuliers-maths-collegiens-2055628,2366655,Bry-sur-Marne,Marie
2065991,https://www.voscours.fr/online/mathematiques/cours-particuliers-math-physique-chimie-anglais-eleve-ingenieure-centralienne-2065991,1260227,Nantes,Manon
2217957,https://www.voscours.fr/online/mathematiques/cours-mathematiques-francais-en-ligne-2217957,2547602,,Clara
2221849,https://www.voscours.fr/online/francais/cours-particuliers-francais-professeur-certifie-2221849,2552950,La Rochelle,Guillaume
2437183,https://www.voscours.fr/prof-particulier-rennes/etudiante-ingenieure-propose-cours-maths-physique-chimie-biologie-niveau-primaire-a-terminale-2437183,1979179,Rennes,Julie
2545106,https://www.voscours.fr/online/physique/professeure-mathematiques-physique-chimie-tous-niveaux-primaire-secondaire-superieur-2545106,2985554,,Clara
2558567,https://www.voscours.fr/online/francais/professeur-francais-en-ligne-2558567,2962680,Bizanos,Marie Noelle
2620042,https://www.voscours.fr/prof-particulier-pau/suis-actuellement-deuxieme-annee-licence-economie-gestion-a-universite-toulouse-quelques-facilites-economie-mathematiques-habitude-donner-co-2620042,3077674,,Nicolas
3244191,https://www.voscours.fr/prof-particulier-cayenne/cours-collegiens-cayenne-3244191,3807597,,Sarah
2839816,https://www.voscours.fr/online/theatre/cours-theatre-niveau-cycle-en-ligne-2839816,3359081,,Hermanis
2862790,https://www.voscours.fr/prof-particulier-les-sables-dolonne/educateur-sportif-diplome-sables-olonne-2862790,3386038,Château-d'Olonne,Christophe
2871794,https://www.voscours.fr/prof-particulier-tours/professeur-arabe-tous-niveaux-tours-2871794,3391781,Joué-lès-Tours,Zina
2874420,https://www.voscours.fr/prof-particulier-nantes/coach-sportif-diplome-etat-nantes-ses-alentours-2874420,2971293,Nantes,Sébastien
